2020-01-21 00:54:23 status unpacked bsdutils:armhf 1:2.29.2-1+deb9u1
2020-01-21 00:54:23 status unpacked bsdutils:armhf 1:2.29.2-1+deb9u1
2020-01-21 00:54:23 install libblkid1:armhf <none> 2.29.2-1+deb9u1
2020-01-21 00:54:23 status half-installed libblkid1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:24 status unpacked libblkid1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:24 status unpacked libblkid1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:25 install libfdisk1:armhf <none> 2.29.2-1+deb9u1
2020-01-21 00:54:25 status half-installed libfdisk1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:25 status unpacked libfdisk1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:25 status unpacked libfdisk1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:26 install libmount1:armhf <none> 2.29.2-1+deb9u1
2020-01-21 00:54:26 status half-installed libmount1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:26 status unpacked libmount1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:26 status unpacked libmount1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:27 install libsmartcols1:armhf <none> 2.29.2-1+deb9u1
2020-01-21 00:54:27 status half-installed libsmartcols1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:28 status unpacked libsmartcols1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:28 status unpacked libsmartcols1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:28 install libuuid1:armhf <none> 2.29.2-1+deb9u1
2020-01-21 00:54:28 status half-installed libuuid1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:29 status unpacked libuuid1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:29 status unpacked libuuid1:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:29 install mount:armhf <none> 2.29.2-1+deb9u1
2020-01-21 00:54:29 status half-installed mount:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:30 status unpacked mount:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:30 status unpacked mount:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:30 install util-linux:armhf <none> 2.29.2-1+deb9u1
2020-01-21 00:54:30 status half-installed util-linux:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:31 status unpacked util-linux:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:31 status unpacked util-linux:armhf 2.29.2-1+deb9u1
2020-01-21 00:54:32 install liblzma5:armhf <none> 5.2.2-1.2+b1
2020-01-21 00:54:32 status half-installed liblzma5:armhf 5.2.2-1.2+b1
2020-01-21 00:54:32 status unpacked liblzma5:armhf 5.2.2-1.2+b1
2020-01-21 00:54:32 status unpacked liblzma5:armhf 5.2.2-1.2+b1
2020-01-21 00:54:33 install zlib1g:armhf <none> 1:1.2.8.dfsg-5
2020-01-21 00:54:33 status half-installed zlib1g:armhf 1:1.2.8.dfsg-5
2020-01-21 00:54:33 status unpacked zlib1g:armhf 1:1.2.8.dfsg-5
2020-01-21 00:54:33 status unpacked zlib1g:armhf 1:1.2.8.dfsg-5
